分局,廟宇數,面積,廟宇密度,總人口,犯案件數,犯罪率,人口密度,是否為直轄市(1是0否),溫度
中埔分局,86,420.2757,0.2046275814,"63,482",844,1329.510727,151.0484665,0,23.1
布袋分局,82,141.0232,0.5814646101,"49,970",423,846.5079047,354.3388606,0,23.1
朴子分局,142,193.4152,0.7341718748,"99,305",1088,1095.614521,513.429141,0,23.1
水上分局,123,190.3312,0.6462419193,"105,130",1452,1381.147151,552.3529511,0,23.1
民雄分局,184,248.759,0.7396717305,"155,566",1868,1200.776519,625.3683284,0,23.1
竹崎分局,91,709.8298,0.1281997459,"65,250",688,1054.40613,91.92344418,0,23.1
馬公分局,118,67.2926,1.75353605,77523,926,1194.484218,1152.028603,0,23.5
白沙分局,54,38.8023,1.391670081,18110,115,635.0082827,466.7249106,0,23.5
望安分局,21,20.7692,1.011112609,9118,27,296.1175696,439.0154652,0,23.5
屏東分局,253,178.6805,1.415935147,"292,076",3871,1325.33998,1634.62717,0,25.1
里港分局,141,740.6335,0.1903775619,"112,203",559,498.2041478,151.4959828,0,25.1
東港分局,259,140.4351,1.844268278,"147,716",598,404.8308917,1051.845301,0,25.1
潮州分局,148,298.2921,0.4961579606,"91,577",1578,1723.14009,307.004443,0,25.1
內埔分局,133,339.9143,0.3912750949,"90,504",1689,1866.215858,266.2553473,0,25.1
枋寮分局,104,564.91,0.1841001221,"66,229",1095,1653.354271,117.2381441,0,25.1
恆春分局,122,510.6526,0.2389099752,"53,374",1130,2117.135684,104.5211559,0,25.1
新竹市警察局,162,104.1526,1.555410043,446701,4413,995.3,4288.908774,0,22.6
